IssueKey,DepartmentTypeId,DepartmentName
1,1a9da980-37e1-4716-936e-62c1931ccfb5,Investor Reporting
2,32d21bd8-8844-4aa0-9213-d46bc8e4136e,Compliance
2,9ca1c5e9-b5e6-4652-b55b-5cebdb25d725,Investor Reporting
2,3be9d7f3-5bea-4b41-b259-36f03a3bb973,External Party
3,9b7b80f2-5080-4b4c-9259-9236a511770a,IT
4,08d3fee9-6a28-44ae-8f11-3886f3f82bdb,External Party
5,9e8987bb-9eb6-4a33-8040-b2a53e4a4f82,Compliance
5,c1ab8a80-df4a-4d2f-ad5d-806dc581d36d,Finance
5,518f9e58-ed4f-45ac-bb85-fb29b9116c1f,Surveillance Infrastructure
6,c350f647-2d66-47f3-9bf2-e54afb058126,Data Onboarding
7,6a1a35d5-3ba9-4799-b3f9-62cbdd301066,IT
7,a61c6df7-a164-48de-927a-9b165006687a,Operations
7,27f6c724-8eda-4a7c-b429-536f2e283f4a,External Party
8,c16b4728-daeb-4494-8710-78d6a4bd7102,Investor Reporting
8,f30fbd3f-0211-4184-a407-143eeb739b66,Data Onboarding
9,e2aefdf0-67b1-4ca6-b627-cef5f2579916,Investor Reporting
10,53de508e-2408-4ae9-b889-c580d973360e,External Party
10,7b852ee7-5af9-45fb-bad6-f7a427d16e4a,Surveillance Infrastructure
10,2880d17d-b8a6-4889-b87f-aa1fcdd12405,Compliance
11,c6019065-c410-4931-b332-8029337002e9,External Party
12,0991c4e8-64dd-4945-967e-11001b5b71d9,Finance
13,23adf305-4d07-4019-8219-7a8c423be393,Investor Reporting
13,22824803-bd3a-415c-9e21-97c65e9fd7a2,Loan Servicing & Banking
13,42e17a95-9b8c-435a-89f7-5b1421afa4d9,Data Onboarding
14,5c662ddf-0e3c-4f07-b2f0-ca4d4ab3d0f1,Investor Reporting
15,8a0fabca-fb83-4174-81c3-a7ee8ba0b302,Investor Reporting
16,2072769e-287d-4f95-9feb-7b478c94d12b,Investor Reporting
16,04b76f1e-bb91-4f76-8281-681999b0128d,Data Onboarding
16,5e50c178-61ed-4991-af70-e29bcde8ada9,Surveillance CRE
